System.Id,System.Title,Microsoft.VSTS.Common.CreatedDate,System.Effort,System.State,System.IterationPath,System.WorkItemType,Microsoft.VSTS.Common.BacklogPriority,Microsoft.VSTS.Common.ActivatedDate,Microsoft.VSTS.Common.ClosedDate
182,Etiam consequat arcu venenatis mollis euismod.,2016-07-29T15:46:23.000Z,3,Done,\Sprint 10,Product Backlog Item,746541835,2016-08-29T11:56:32.000Z,2016-09-09T11:17:53.000Z
183,Proin ut sem vehicula nulla porta lacinia.,2016-08-15T13:57:29.000Z,3,Done,\Sprint 10,Product Backlog Item,746569158,2016-08-29T11:56:37.000Z,2016-09-09T11:17:59.000Z
184,"Etiam vestibulum nibh id tortor viverra, sed faucibus mi finibus.",2016-09-07T17:08:28.000Z,,Done,\Sprint 10,Product Backlog Item,746391569,2016-09-07T17:08:44.000Z,2016-09-09T16:59:10.000Z
185,Quisque vulputate magna ac dapibus fermentum.,2016-07-20T10:27:05.000Z,8,Done,\Sprint 10,Product Backlog Item,746418889,2016-08-16T12:44:30.000Z,2016-09-13T09:42:50.000Z
186,Etiam scelerisque tellus in orci fringilla porta.,2016-07-06T16:16:00.000Z,2,Done,\Sprint 11,Product Backlog Item,748236413,2016-09-13T15:03:55.000Z,2016-09-23T12:01:21.000Z
187,Maecenas non urna efficitur lectus dignissim eleifend.,2016-07-06T16:16:04.000Z,5,Done,\Sprint 11,Product Backlog Item,748238692,2016-09-13T15:03:55.000Z,2016-09-23T12:01:24.000Z
188,"Donec vitae lorem porttitor, accumsan ligula in, sagittis lacus.",2016-07-18T14:23:57.000Z,2,Done,\Sprint 11,Product Backlog Item,748239160,2016-09-13T15:03:55.000Z,2016-09-23T12:01:32.000Z
189,"Vivamus elementum augue ut arcu ullamcorper, non eleifend nulla fermentum.",2016-09-01T18:30:56.000Z,3,Done,\Sprint 11,Product Backlog Item,748239746,2016-09-14T10:40:57.000Z,2016-09-23T12:02:30.000Z
190,Mauris vitae lorem maximus nulla pharetra luctus sit amet sit amet urna.,2016-09-06T10:22:30.000Z,3,Done,\Sprint 11,Product Backlog Item,748239687,2016-09-13T15:12:45.000Z,2016-09-23T12:02:57.000Z
191,"Praesent quis est aliquam, dapibus sem a, porta lacus.",2016-07-29T17:14:44.000Z,3,Done,\,Product Backlog Item,747738582,2016-09-13T15:03:55.000Z,2016-09-26T10:51:17.000Z
